ID	TASK	DA	RAND_20_naturalness	AL_20_naturalness	RAND_40_naturalness	AL_40_naturalness	RAND_100_naturalness	AL_100_naturalness	FULLTRAINSET_naturalness	GOLD_naturalness	RAND_20_informativeness	AL_20_informativeness	RAND_40_informativeness	AL_40_informativeness	RAND_100_informativeness	AL_100_informativeness	FULLTRAINSET_informativeness	GOLD_informativeness
35	1QAKWUM3TEA0ZC06KLVDF9GI6U2V0A	inform(name="X1",type=placetoeat,near="X2",area=riverside,area=citycentre,eattype=restaurant)	5	5	5	4	5	3	3	4	5	4	5	4	4	4	4	4
36	1QAKWUM3TEA0ZC06KLVDF9GI6U2V0A	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area="X3",food=Continental,food=French)	5	4	5	5	5	5	3	5	4	4	4	4	4	4	4	4
37	1LHMK0XMR9YB897RI5IH7KHO9QZDM4	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,near="X2",food="Cafe food",food=English)	4	5	4	4	4	4	4	3	5	4	3	4	3	4	4	2
38	1LHMK0XMR9YB897RI5IH7KHO9QZDM4	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive)	5	5	4	2	2	2	2	2	4	4	4	3	3	3	3	3
39	1LHMK0XMR9YB897RI5IH7KHO9QZDM4	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=moderate,area="X2",area="X3")	4	5	4	4	5	4	5	4	5	4	5	5	4	4	4	5
3	1J5J03HC2HM58QPFFV3VKBU13V7ZRC	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",food=Indian)	4	2	4	4	4	4	4	4	4	2	4	4	4	4	4	4
40	1LHMK0XMR9YB897RI5IH7KHO9QZDM4	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=Chinese)	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4
41	1J1EBNNUK2MH95PSUK30ALZXPXQZS0	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",near="X3",area=riverside,area="X4")	5	5	4	4	4	4	4	3	4	4	4	4	4	4	4	3
42	1J1EBNNUK2MH95PSUK30ALZXPXQZS0	inform(name="X1",eattype=restaurant,addr="X2",phone="X3")	4	4	4	4	4	3	4	4	4	3	4	3	4	3	3	4
43	1J1EBNNUK2MH95PSUK30ALZXPXQZS0	inform(name="X1",type=placetoeat,near="X2",eattype=restaurant)	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	3
44	1J1EBNNUK2MH95PSUK30ALZXPXQZS0	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area="X3",food=Chinese)	3	4	4	3	3	3	3	3	4	4	4	3	3	3	3	3
45	1FWPVT5C52YIO527JK8QKQVJRG4ZTP	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area=citycentre,area=riverside)	5	4	5	3	3	3	5	4	5	5	4	5	5	5	5	3
46	1FWPVT5C52YIO527JK8QKQVJRG4ZTP	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",area="X3",food=Indian)	4	5	5	5	3	3	3	5	4	5	3	5	3	3	3	5
47	1FWPVT5C52YIO527JK8QKQVJRG4ZTP	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",near="X3")	2	1	5	5	2	5	2	5	4	1	5	5	4	5	4	5
48	1FWPVT5C52YIO527JK8QKQVJRG4ZTP	inform(name=none,near="X1",area="X2")	5	1	5	1	5	1	5	5	5	1	5	1	5	2	5	5
49	1JS10QMFUUF2VPPB8BO310FK0O781L	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2")	3	3	3	3	4	3	3	3	4	3	4	3	4	3	3	3
4	1J5J03HC2HM58QPFFV3VKBU13V7ZRC	inform(name="X1",type=placetoeat,area="X2",near="X3",eattype=restaurant)	4	2	4	2	4	4	3	5	4	2	4	2	4	4	3	5
50	1JS10QMFUUF2VPPB8BO310FK0O781L	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,food=Italian)	4	4	3	4	3	3	3	3	4	4	4	4	4	4	4	4
51	1JS10QMFUUF2VPPB8BO310FK0O781L	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area=riverside,pricerange=expensive)	3	4	4	5	5	4	4	3	3	3	4	4	4	3	3	4
52	1JS10QMFUUF2VPPB8BO310FK0O781L	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",near="X3",food=Indian,food="Indian takeaway")	5	4	3	4	4	4	4	4	4	4	3	3	3	3	4	4
53	1S4J3VX3WKTP7IAE22WWS169Y47PKP	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,pricerange=cheap,near="X2",near="X3")	3	2	3	1	4	5	5	5	4	1	4	1	4	5	5	5
54	1S4J3VX3WKTP7IAE22WWS169Y47PKP	inform(name="X1",eattype=restaurant,phone="X2")	3	3	3	3	3	3	3	5	3	4	3	4	3	4	4	5
55	1S4J3VX3WKTP7IAE22WWS169Y47PKP	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=French)	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4
56	1S4J3VX3WKTP7IAE22WWS169Y47PKP	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,area="X2",food=Continental,food=French)	3	5	3	5	3	2	2	5	3	5	3	5	3	3	3	5
57	1CEA5LYB25WMKAQ6UJ0QN6BKLOESK8	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,food=French)	3	5	3	4	5	5	5	4	4	4	4	4	4	4	4	3
58	1CEA5LYB25WMKAQ6UJ0QN6BKLOESK8	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside,food=Indian)	4	3	4	3	3	3	4	5	5	4	4	4	4	4	4	5
59	1CEA5LYB25WMKAQ6UJ0QN6BKLOESK8	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=moderate,area="X2",food=Indian)	5	5	5	5	4	5	5	4	4	4	4	4	3	4	4	3
5	11MFAPXTV9E0063SXV02NECWAIG54T	inform(name="X1",type=placetoeat,area="X2",near="X3",near="X4",eattype=restaurant)	4	4	4	4	4	4	4	4	4	3	4	4	3	3	4	3
60	1CEA5LYB25WMKAQ6UJ0QN6BKLOESK8	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area=citycentre,food="Cafe food",food=English)	5	5	3	4	4	4	4	3	3	4	5	4	5	4	4	5
61	1HXKAD4P21RX4G8OFJCR26OZAOJSLB	inform(name="X1",type=placetoeat,pricerange=moderate,area=riverside,near="X2",near="X3",eattype=restaurant)	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
62	1HXKAD4P21RX4G8OFJCR26OZAOJSLB	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",food=Contemporary,food=English)	2	5	4	5	4	4	4	5	2	5	3	5	3	4	4	4
63	1HXKAD4P21RX4G8OFJCR26OZAOJSLB	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=cheap,area=riverside,food=Indian)	1	3	1	4	5	4	4	4	2	4	3	5	5	5	5	4
64	1HXKAD4P21RX4G8OFJCR26OZAOJSLB	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,near="X2",food=Italian,food="Takeaway pizza")	1	3	4	3	5	3	4	5	1	4	3	4	5	4	4	5
65	15CQSI5HG1F9KA77RFOH6JPPSUL822	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,food=Indian,food="Indian takeaway")	4	3	4	3	4	4	4	4	4	4	4	4	3	4	3	4
66	15CQSI5HG1F9KA77RFOH6JPPSUL822	inform(name=none,area="X1",near="X2")	4	4	4	4	4	4	4	4	4	3	4	3	4	3	4	4
67	15CQSI5HG1F9KA77RFOH6JPPSUL822	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,near="X2",near="X3")	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3
68	15CQSI5HG1F9KA77RFOH6JPPSUL822	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food="Chinese takeaway",food=Fusion)	5	4	4	4	4	5	5	4	4	4	5	4	4	4	4	5
69	1W365D51ZR4JV51SQBJ7YN3DTSDAPV	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=cheap,area=citycentre)	1	1	1	4	5	4	5	5	3	3	3	4	5	4	5	5
6	11MFAPXTV9E0063SXV02NECWAIG54T	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=cheap,area=citycentre,near="X2")	4	3	4	4	4	4	4	4	4	3	3	4	3	3	3	3
70	1W365D51ZR4JV51SQBJ7YN3DTSDAPV	inform(name="X1",type=placetoeat,near="X2",pricerange=moderate,area=riverside,eattype=restaurant)	1	3	5	5	5	5	5	4	3	5	5	5	5	5	5	5
71	1W365D51ZR4JV51SQBJ7YN3DTSDAPV	inform(name="X1",type=placetoeat,near="X2",area="X3",eattype=restaurant,pricerange=expensive)	1	1	4	4	4	4	3	5	3	3	5	5	5	5	4	5
72	1W365D51ZR4JV51SQBJ7YN3DTSDAPV	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",near="X3",food=Italian)	5	5	3	5	5	5	5	5	5	5	4	5	5	5	5	5
73	1P1IK173N1MY5S3QVF2MPTUHY8L83D	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=Seafood)	4	4	4	3	3	3	3	3	3	4	3	3	3	3	3	3
74	1P1IK173N1MY5S3QVF2MPTUHY8L83D	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,area=citycentre,near="X2",near="X3")	4	4	5	3	5	4	4	5	3	4	5	4	4	4	4	3
75	1P1IK173N1MY5S3QVF2MPTUHY8L83D	inform(name="X1",type=placetoeat,area=riverside,near="X2",near="X3",eattype=restaurant)	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3
76	1P1IK173N1MY5S3QVF2MPTUHY8L83D	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,food=Indian)	4	3	4	3	4	3	4	3	3	4	3	3	3	3	3	3
77	1ETA33TAN8BJNOMUVT75ZYMNC8H84Y	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,food=Chinese)	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
78	1ETA33TAN8BJNOMUVT75ZYMNC8H84Y	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,near="X2")	1	4	1	4	4	4	4	5	3	4	2	4	4	4	4	5
79	1ETA33TAN8BJNOMUVT75ZYMNC8H84Y	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",food=Chinese)	4	5	4	5	5	5	4	5	4	5	4	5	5	5	4	5
7	11MFAPXTV9E0063SXV02NECWAIG54T	inform(name="X1",type=placetoeat,eattype=restaurant,food=Indian)	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3
80	1ETA33TAN8BJNOMUVT75ZYMNC8H84Y	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",near="X3",food=Chinese)	2	2	3	2	2	4	4	4	4	3	4	3	3	4	4	4
81	16LT5P0AUXW1J7QU9YQF4QS1C4C853	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",food=Seafood)	3	3	5	4	4	4	3	4	3	3	5	4	4	4	4	4
82	16LT5P0AUXW1J7QU9YQF4QS1C4C853	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=moderate)	3	5	2	5	5	5	5	5	3	5	2	5	5	5	5	5
83	16LT5P0AUXW1J7QU9YQF4QS1C4C853	inform(name="X1",type=placetoeat,area="X2",pricerange=expensive,eattype=restaurant)	2	5	5	5	5	5	2	5	2	5	5	5	5	5	2	5
84	16LT5P0AUXW1J7QU9YQF4QS1C4C853	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",pricerange=moderate)	5	3	5	3	3	5	5	5	5	3	5	3	3	5	5	5
85	1UK1Y4CAXZDF7YBMXUPEVLSP7H3ICT	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2")	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3
86	1UK1Y4CAXZDF7YBMXUPEVLSP7H3ICT	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",near="X3",food=French)	2	2	4	2	5	5	4	4	3	3	5	3	5	5	5	4
87	1UK1Y4CAXZDF7YBMXUPEVLSP7H3ICT	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=Italian,food="Takeaway pizza")	3	2	3	2	2	2	2	4	2	3	2	3	3	3	3	4
88	1UK1Y4CAXZDF7YBMXUPEVLSP7H3ICT	inform(name="X1",type=placetoeat,pricerange=moderate,area=riverside,near="X2",eattype=restaurant)	2	4	5	5	5	5	5	4	2	4	5	5	5	5	5	4
89	1PW4LMEMV0H061LOG4ZDTEZSBM8V1D	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2",food=Indian,food="Indian takeaway")	3	4	3	4	4	3	3	4	3	4	3	3	3	2	3	3
8	11MFAPXTV9E0063SXV02NECWAIG54T	inform(name="X1",type=placetoeat,area="X2",pricerange=moderate,eattype=restaurant)	4	5	4	4	3	3	5	3	4	4	4	4	4	3	3	3
90	1PW4LMEMV0H061LOG4ZDTEZSBM8V1D	inform(name="X1",type=placetoeat,near="X2",area=riverside,eattype=restaurant)	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3
91	1PW4LMEMV0H061LOG4ZDTEZSBM8V1D	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre,near="X2",food="Chinese takeaway",food=Japanese)	3	4	4	3	3	4	4	4	4	3	4	3	3	4	4	3
92	1PW4LMEMV0H061LOG4ZDTEZSBM8V1D	inform(name="X1",type=placetoeat,eattype=restaurant,area="X2",pricerange=expensive,food=Continental,food=French)	5	4	5	4	3	4	4	3	4	4	4	3	4	3	3	3
93	107P2JIPYW2HAYQ9FVD62J3OAT9SMD	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",pricerange=expensive)	2	5	3	5	5	5	5	3	2	5	1	5	5	5	5	4
94	107P2JIPYW2HAYQ9FVD62J3OAT9SMD	inform(name="X1",type=placetoeat,area="X2",area="X3",eattype=restaurant)	4	5	4	5	5	5	5	5	4	5	4	5	5	5	5	5
95	107P2JIPYW2HAYQ9FVD62J3OAT9SMD	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,near="X2")	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
96	107P2JIPYW2HAYQ9FVD62J3OAT9SMD	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=cheap)	3	3	3	5	5	5	5	4	4	4	4	5	5	5	5	4
97	1ACH8XILT7MNSGB9RWS6FYSOFJJSND	inform(name="X1",type=placetoeat,near="X2",pricerange=cheap,eattype=restaurant)	4	4	1	4	4	4	4	4	5	5	2	5	5	5	5	5
98	1ACH8XILT7MNSGB9RWS6FYSOFJJSND	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside,area="X2",food=Italian)	3	2	5	5	5	5	5	5	4	3	5	5	5	5	5	5
99	1ACH8XILT7MNSGB9RWS6FYSOFJJSND	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=Continental,food=French)	1	4	3	4	5	5	4	5	1	3	3	3	5	5	3	5
9	1WLQAKWATGZJU5HFZJ69YSSHXDKGKC	inform(name="X1",type=placetoeat,eattype=restaurant,area=citycentre)	4	5	4	4	4	4	4	4	3	4	3	3	3	3	3	3
